,Unnamed: 0,user_id,book_id,rating,goodreads_book_id,tag_id,count,genre_x,work_id,books_count,isbn,isbn13,authors,original_publication_year,original_title,title,language_code,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url
138,138,962,140,4,6892870,20939,4304,mystery,12883496,193,030726999X,9780000000000.0,"Stieg Larsson, Reg Keeland",2007.0,Luftslottet som sprängdes,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",en-US,4.2,443951,526791,26766,3823,14773,78387,203297,226511,https://images.gr-assets.com/books/1327708260m/6892870.jpg
143,143,4,145,2,976,30358,2273,suspense,3135896,180,671027387,9780671027380.0,Dan Brown,2001.0,Deception Point,Deception Point,eng,3.67,455610,479733,7798,14380,45006,143182,160819,116346,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
168,168,143,170,3,11125,30358,2213,suspense,40195,185,552151696,9780000000000.0,Dan Brown,1998.0,Digital Fortress,Digital Fortress,en-GB,3.6,423019,447503,7538,16592,47507,136196,144029,103179,https://images.gr-assets.com/books/1360095966m/11125.jpg
194,194,65,196,5,5759,30358,658,suspense,68729,162,393327345,9780000000000.0,Chuck Palahniuk,1996.0,Fight Club,Fight Club,eng,4.2,365349,388654,11176,4578,12632,58110,139554,173780,https://images.gr-assets.com/books/1357128997m/5759.jpg
198,198,4,200,4,16299,20939,8809,mystery,3038872,474,312330871,9780000000000.0,Agatha Christie,1939.0,Ten Little Niggers,And Then There Were None,eng,4.23,408983,456680,17264,6134,12476,66243,156306,215521,https://images.gr-assets.com/books/1391120695m/16299.jpg
199,199,4529,201,3,6411961,20939,3129,mystery,6600281,208,385504225,9780000000000.0,Dan Brown,2009.0,The Lost Symbol,"The Lost Symbol (Robert Langdon, #3)",eng,3.66,369428,404982,24199,11293,40545,120122,136545,96477,https://images.gr-assets.com/books/1358274396m/6411961.jpg
205,205,203,207,2,6853,20939,4193,mystery,1486401,109,312362080,9780000000000.0,Janet Evanovich,1994.0,One for the Money,"One for the Money (Stephanie Plum, #1)",en-US,4.03,391007,403315,13050,9176,19657,80319,133454,160709,https://images.gr-assets.com/books/1316730230m/6853.jpg
220,220,4,222,4,7869,30358,1602,suspense,859111,143,752864327,9780000000000.0,Robert Ludlum,1980.0,The Bourne Identity,"The Bourne Identity (Jason Bourne, #1)",eng,3.98,327122,336212,3899,10266,17695,65161,118463,124627,https://images.gr-assets.com/books/1335860740m/7869.jpg
224,224,5016,226,3,5886881,20939,3413,mystery,6873353,131,307341569,9780000000000.0,Gillian Flynn,2009.0,Dark Places,Dark Places,eng,3.92,333452,386607,28784,5169,17975,89242,165108,109113,https://images.gr-assets.com/books/1354988288m/5886881.jpg
225,225,9,227,2,5359,20939,871,mystery,137715,134,385339089,9780000000000.0,John Grisham,1993.0,The Client,The Client,eng,3.97,320083,325663,1917,2530,12566,79176,129019,102372,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
233,233,1679,235,3,17802724,20939,834,mystery,23986788,95,399159347,9780000000000.0,Liane Moriarty,2013.0,The Husband's Secret ,The Husband's Secret,eng,3.92,232106,351805,27610,4175,15649,80869,155945,95167,https://images.gr-assets.com/books/1460577225m/17802724.jpg
238,238,3180,240,4,17212231,20939,2294,mystery,23841765,235,385537859,9780000000000.0,Dan Brown,2013.0,Inferno,"Inferno (Robert Langdon, #4)",eng,3.8,287533,345560,33700,7261,26077,89237,128374,94611,https://images.gr-assets.com/books/1397093185m/17212231.jpg
240,240,137,242,4,13145,20939,1563,mystery,3373984,122,446692638,9780000000000.0,James Patterson,1993.0,Along Came a Spider,"Along Came a Spider (Alex Cross, #1)",eng,4.08,311499,318031,3600,4281,10929,61630,118236,122955,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
242,242,592,244,5,66559,20939,3002,mystery,3801,136,307341542,9780000000000.0,Gillian Flynn,2006.0,Sharp Objects,Sharp Objects,en-US,3.92,207889,354838,28268,4988,17566,81036,147558,103690,https://images.gr-assets.com/books/1423241485m/66559.jpg
251,251,24733,253,5,16160797,20939,5929,mystery,22002305,48,316206849,9780000000000.0,"Robert Galbraith, J.K. Rowling",2013.0,The Cuckoo's Calling,"The Cuckoo's Calling (Cormoran Strike, #1)",en-US,3.83,297712,340495,27258,9729,20151,79290,138955,92370,https://images.gr-assets.com/books/1358716559m/16160797.jpg
260,260,7376,262,4,19486412,20939,1554,mystery,27570886,107,399167064,9780000000000.0,Liane Moriarty,2014.0,Big Little Lies,Big Little Lies,eng,4.2,306186,371433,30120,3775,7865,49115,159494,151184,https://images.gr-assets.com/books/1492239430m/19486412.jpg
264,264,137,266,3,13148,20939,1225,mystery,881425,111,446677388,9780000000000.0,James Patterson,1995.0,Kiss the Girls,"Kiss the Girls (Alex Cross, #2)",eng,3.93,274639,279116,2798,10518,14558,58296,95980,99764,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
268,268,53,270,2,12873,20939,2596,mystery,46663,306,1844080382,9780000000000.0,"Daphne du Maurier, Sally Beauman",1938.0,Rebecca,Rebecca,en-US,4.2,177384,329596,14920,4565,10900,49263,112768,152100,https://images.gr-assets.com/books/1327871977m/12873.jpg
279,279,24,281,3,32499,20939,1033,mystery,490324,145,385339704,9780000000000.0,John Grisham,1992.0,The Pelican Brief,The Pelican Brief,eng,3.95,288376,296168,2006,2362,12423,73587,116438,91358,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
334,334,537,336,3,13137,20939,1701,mystery,1711194,107,446696617,9780000000000.0,James Patterson,2001.0,1st To Die,"1st to Die (Women's Murder Club, #1)",en-US,4.05,233984,242428,5039,4464,10087,48616,83796,95465,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
340,340,12065,342,4,13497818,20994,71,mystery,19926990,139,316228532,9780000000000.0,J.K. Rowling,2012.0,The Casual Vacancy,The Casual Vacancy,eng,3.28,231835,254461,28751,24583,38326,74611,75741,41200,https://images.gr-assets.com/books/1358266832m/13497818.jpg
341,341,137,343,4,24192,30358,643,suspense,1022176,120,385339690,9780000000000.0,John Grisham,1996.0,The Runaway Jury,The Runaway Jury,eng,3.96,222712,226861,1700,1613,8950,56426,90284,69588,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
346,346,6208,348,4,16143347,20939,2160,mystery,21975829,77,,,E. Lockhart,2014.0,We Were Liars,We Were Liars,eng,3.85,273442,298780,36910,9074,22616,68468,102385,96237,https://images.gr-assets.com/books/1402749479m/16143347.jpg
402,402,12567,404,4,11367726,20939,1137,mystery,16298550,76,385344228,9780000000000.0,William Landay,2012.0,Defending Jacob,Defending Jacob,eng,3.97,182025,202066,17681,2777,8608,42024,87107,61550,https://images.gr-assets.com/books/1329612158m/11367726.jpg
415,415,278,417,4,40440,20939,2613,mystery,849453,137,743298020,9780000000000.0,Diane Setterfield,2006.0,The Thirteenth Tale,The Thirteenth Tale,eng,3.95,213200,228602,19432,4510,12847,49274,85569,76402,https://images.gr-assets.com/books/1346267826m/40440.jpg
443,443,6430,445,4,9736930,20939,1678,mystery,14625976,150,62060554,9780000000000.0,S.J. Watson,2011.0,Before I Go to Sleep,Before I Go to Sleep,en-CA,3.87,180896,213136,19206,3703,12436,51695,84940,60362,https://images.gr-assets.com/books/1358353512m/9736930.jpg
444,444,1335,446,4,102868,20939,4066,mystery,1997473,1106,1420925539,9780000000000.0,Arthur Conan Doyle,1887.0,A Study in Scarlet,A Study in Scarlet,eng,4.15,201499,220115,6954,2318,5550,38107,85345,88795,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
471,471,2398,473,4,237209,20939,4357,mystery,3088141,78,670038601,9780000000000.0,Tana French,2007.0,In the Woods,"In the Woods (Dublin Murder Squad, #1)",eng,3.74,188024,201721,15392,6553,15636,51430,77182,50920,https://images.gr-assets.com/books/1348442606m/237209.jpg
475,475,2409,477,3,78129,30358,1441,suspense,4511038,127,515141429,9780000000000.0,Lee Child,1997.0,Killing Floor,"Killing Floor (Jack Reacher, #1)",eng,4.04,162972,182703,8032,2652,7160,35471,71953,65467,https://images.gr-assets.com/books/1399313258m/78129.jpg
492,492,9,494,2,29044,20939,1368,mystery,221359,141,1400031702,9780000000000.0,Donna Tartt,1992.0,The Secret History,The Secret History,eng,4.07,168405,189596,13324,3685,9750,32410,66858,76893,https://images.gr-assets.com/books/1451554846m/29044.jpg
499,499,124,501,3,7061,20939,3140,mystery,826298,108,1400034779,9780000000000.0,Alexander McCall Smith,1998.0,The No. 1 Ladies' Detective Agency ,"The No. 1 Ladies' Detective Agency  (No. 1 Ladies' Detective Agency, #1)",eng,3.75,180320,189258,9369,6389,14860,49558,66723,51728,https://images.gr-assets.com/books/1459953654m/7061.jpg
509,509,537,511,4,6534,20939,1654,mystery,1045067,129,743477154,9780000000000.0,Patricia Cornwell,1990.0,Post-Mortem:  A Mystery Introducing Dr. Kay Scarpetta,"Postmortem (Kay Scarpetta, #1)",eng,4.01,167379,173045,2261,2760,6662,37396,66098,60129,https://images.gr-assets.com/books/1341835831m/6534.jpg
512,512,158,514,4,3590,20939,3587,mystery,1222101,1235,192835084,9780000000000.0,Arthur Conan Doyle,1892.0,The Adventures of Sherlock Holmes,The Adventures of Sherlock Holmes,eng,4.29,139816,184991,4922,864,3047,24897,68111,88072,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
519,519,263,521,4,79885,20939,1092,mystery,1427801,123,739465511,9780000000000.0,Michael Connelly,2005.0,The Lincoln Lawyer ,"The Lincoln Lawyer (Mickey Haller, #1; Harry Bosch Universe, #16)",eng,4.14,149438,160724,4757,1136,3767,27768,67204,60849,https://images.gr-assets.com/books/1370140049m/79885.jpg
524,524,286,526,1,17231,20939,1156,mystery,2113743,95,307277887,9780000000000.0,Jeff Lindsay,2004.0,Darkly Dreaming Dexter,"Darkly Dreaming Dexter (Dexter, #1)",eng,3.89,150055,157862,5656,4689,10180,35941,53459,53593,https://images.gr-assets.com/books/1334404607m/17231.jpg
546,546,3183,548,4,162085,20939,1091,mystery,2191061,75,60887303,9780000000000.0,Sara Shepard,2006.0,Pretty Little Liars,"Pretty Little Liars (Pretty Little Liars, #1)",en-US,3.9,156328,165836,8160,5743,12397,37519,47724,62453,https://images.gr-assets.com/books/1377830522m/162085.jpg
586,586,296,588,3,15769,30358,744,suspense,2508588,101,752863886,9780000000000.0,Robert Ludlum,1986.0,The Bourne Supremacy,"The Bourne Supremacy (Jason Bourne, #2)",en-US,4.09,142168,145806,1010,1623,4638,27003,57766,54776,https://images.gr-assets.com/books/1335860600m/15769.jpg
594,594,4,596,3,5349,30358,479,suspense,3154548,117,385339607,9780000000000.0,John Grisham,1995.0,The Rainmaker,The Rainmaker,eng,3.91,137412,142791,1518,986,6288,38331,55983,41203,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
613,613,247,616,3,14864,20939,51,mystery,3375925,65,743275012,9780000000000.0,Jodi Picoult,2000.0,Plain Truth,Plain Truth,eng,3.97,128406,138814,6231,1123,5518,32571,57131,42471,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
615,615,73,618,4,8921,20939,4005,mystery,3311984,1717,451528018,9780000000000.0,"Arthur Conan Doyle, Anne Perry",1902.0,The Hound of the Baskervilles,The Hound of the Baskervilles,eng,4.09,154517,178563,5421,1098,5204,35369,71857,65035,https://images.gr-assets.com/books/1355929358m/8921.jpg
620,620,16123,623,4,18775247,30358,645,suspense,26680281,111,1476754454,9780000000000.0,Stephen King,2014.0,Mr. Mercedes,"Mr. Mercedes (Bill Hodges Trilogy, #1)",eng,3.92,125847,148491,12447,3242,7332,32479,60965,44473,https://images.gr-assets.com/books/1468705326m/18775247.jpg
625,625,158,628,4,32682,30358,801,suspense,5054702,88,425134350,9780000000000.0,Tom Clancy,1987.0,Patriot Games,"Patriot Games (Jack Ryan Universe, #2)",eng,4.11,141674,146201,939,1351,3943,27548,58440,54919,https://images.gr-assets.com/books/1328007145m/32682.jpg
667,667,22,670,4,11573,30358,421,suspense,2745957,145,451155750,9780000000000.0,Stephen King,1979.0,The Dead Zone,The Dead Zone,en-US,3.9,132723,139386,2294,1371,7164,37094,52341,41416,https://images.gr-assets.com/books/1283509622m/11573.jpg
668,668,46,671,5,16343,20939,3981,mystery,3366260,876,646418432,9780000000000.0,"Agatha Christie, Ροζίτα Σώκου",1920.0,The Mysterious Affair at Styles,"The Mysterious Affair at Styles (Hercule Poirot, #1)",eng,3.98,135514,148617,3826,3132,5501,33269,55831,50884,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
669,669,46,672,5,16304,20939,6016,mystery,2285570,429,425200450,9780000000000.0,Agatha Christie,1934.0,Murder in the Calais Coach,"Murder on the Orient Express (Hercule Poirot, #10)",eng,4.16,138444,173662,8713,706,4027,30417,70825,67687,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
692,692,15088,695,3,18214414,20939,3623,mystery,25639104,109,316206873,9780000000000.0,"Robert Galbraith, J.K. Rowling",2014.0,The Silkworm,"The Silkworm (Cormoran Strike, #2)",eng,4.03,120008,145146,13549,1330,4361,27130,67680,44645,https://images.gr-assets.com/books/1392577290m/18214414.jpg
704,704,506,707,4,53496,20939,56,mystery,1237212,65,60739495,9780000000000.0,Sharon Creech,1994.0,Walk Two Moons,Walk Two Moons,eng,3.95,129350,132970,5530,3251,8401,29328,43060,48930,https://images.gr-assets.com/books/1389035862m/53496.jpg
723,723,370,726,5,2373,20939,927,mystery,2589896,109,451188454,9780000000000.0,Jeffery Deaver,1997.0,The Bone Collector,"The Bone Collector (Lincoln Rhyme, #1)",en-US,4.18,120541,125250,1785,1165,3101,20494,47836,52654,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
765,765,247,768,3,21686,20939,1558,mystery,1234227,134,038073186X,9780000000000.0,Dennis Lehane,2003.0,Shutter Island,Shutter Island,eng,4.07,113718,124032,6990,1636,4727,22089,49875,45705,https://images.gr-assets.com/books/1329269081m/21686.jpg
766,766,679,769,5,188572,20939,2262,mystery,7492217,301,553328255,9780000000000.0,Arthur Conan Doyle,1894.0,The Complete Sherlock Holmes,The Complete Sherlock Holmes,eng,4.5,109754,126558,2774,471,1125,10089,37928,76945,https://images.gr-assets.com/books/1465539139m/188572.jpg
782,782,158,785,4,32669,30358,250,suspense,5054704,91,425144372,9780000000000.0,Tom Clancy,1989.0,Clear and Present Danger,"Clear and Present Danger (Jack Ryan Universe, #6)",eng,4.08,105317,108638,574,973,3064,21463,44290,38848,https://images.gr-assets.com/books/1291440438m/32669.jpg
788,788,5295,791,3,6614960,20939,283,mystery,6809039,7,743296435,9780000000000.0,Jodi Picoult,2010.0,House Rules,House Rules,en-US,4.01,111239,119767,9871,1155,5434,25143,47540,40495,https://images.gr-assets.com/books/1290479868m/6614960.jpg
790,790,115,793,3,3980,20939,573,mystery,1384549,83,744583276,9780000000000.0,E.L. Konigsburg,1967.0,From the Mixed-Up Files of Mrs. Basil E. Frankweiler,From the Mixed-Up Files of Mrs. Basil E. Frankweiler,eng,4.15,134537,144108,5440,1943,5209,25045,49509,62402,https://images.gr-assets.com/books/1327784751m/3980.jpg
808,808,2886,811,3,18812405,20939,841,mystery,26747961,76,778316556,9780000000000.0,Mary Kubica,2014.0,The Good Girl,The Good Girl,eng,3.81,100936,122753,11244,2697,8081,30628,49795,31552,https://images.gr-assets.com/books/1388340126m/18812405.jpg
812,812,142,815,4,12497,30358,430,suspense,2996445,104,375706674,9780000000000.0,Cormac McCarthy,2005.0,No Country for Old Men,No Country for Old Men,eng,4.12,100513,110082,6281,1533,3795,16790,45304,42660,https://images.gr-assets.com/books/1443231179m/12497.jpg
820,820,555,823,4,64863,20939,2571,mystery,1299178,81,312938993,9780000000000.0,Sue Grafton,1982.0,A is for Alibi,"A is for Alibi (Kinsey Millhone, #1)",en-US,3.82,116026,121225,3236,2465,7563,34101,42272,34824,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
829,829,2464,832,4,268602,20939,2094,mystery,1097497,101,399151575,9780000000000.0,J.D. Robb,1995.0,Naked in Death,"Naked in Death (In Death, #1)",en-US,4.13,78028,126781,4462,3226,5211,21254,39535,57555,https://images.gr-assets.com/books/1297783540m/268602.jpg
830,830,137,833,2,5355,20939,415,mystery,1254155,112,385339666,9780000000000.0,John Grisham,1994.0,The Chamber,The Chamber,eng,3.76,102715,106806,1337,1706,7154,32686,38347,26913,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
844,844,395,847,3,5161,20939,67,mystery,1207024,48,140286276,9780000000000.0,Jacquelyn Mitchard,1996.0,The Deep End of the Ocean,"The Deep End of the Ocean (Cappadora Family, #1)",en-US,3.84,102733,104471,1095,1741,6092,27939,39820,28879,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
847,847,9621,850,4,13538873,20939,1499,mystery,6736543,88,374214913,9780000000000.0,Robin Sloan,2012.0,Mr. Penumbra's 24-Hour Bookstore,"Mr. Penumbra's 24-Hour Bookstore (Mr. Penumbra's 24-Hour Bookstore, #1)",eng,3.75,110552,127396,20150,2419,9582,34956,50973,29466,https://images.gr-assets.com/books/1345089845m/13538873.jpg
854,854,32,857,5,902,20939,2666,mystery,869832,38,014240120X,9780142401200.0,Ellen Raskin,1978.0,The Westing Game,The Westing Game,eng,4.03,117108,124343,7814,2682,6710,24165,41664,49122,https://images.gr-assets.com/books/1356850909m/902.jpg
879,879,714,882,3,92364,30358,554,suspense,395229,144,006074815X,9780000000000.0,Ken Follett,1978.0,Storm Island,Eye of the Needle,en-US,4.16,93475,99971,1990,578,2147,17130,40554,39562,https://images.gr-assets.com/books/1327939511m/92364.jpg
893,893,550,896,4,80660,30358,244,suspense,3106720,98,006112429X,9780000000000.0,Lionel Shriver,2003.0,We Need to Talk About Kevin,We Need to Talk About Kevin,eng,4.07,101343,113939,11369,3643,5596,16884,41057,46759,https://images.gr-assets.com/books/1327865017m/80660.jpg
899,899,953,902,5,32508,20939,1252,mystery,48262,130,446612731,9780000000000.0,Michael Connelly,1992.0,The Black Echo,"The Black Echo (Harry Bosch, #1; Harry Bosch Universe, #1)",eng,4.08,98591,108388,3068,1487,2971,19722,45422,38786,https://images.gr-assets.com/books/1344265342m/32508.jpg
908,908,286,911,2,32692,30358,274,suspense,4847031,112,831727527,9780000000000.0,Stephen King,1992.0,Gerald's Game,Gerald's Game,eng,3.47,100158,105777,2445,6039,14425,32757,28853,23703,https://images.gr-assets.com/books/1297737756m/32692.jpg
909,909,203,912,3,6427,20939,2669,mystery,617151,76,140255559,9780000000000.0,Janet Evanovich,1996.0,Two for the Dough,"Two for the Dough (Stephanie Plum, #2)",eng,4.11,116171,127548,4045,458,3089,25824,51020,47157,https://images.gr-assets.com/books/1330926461m/6427.jpg
919,919,2001,922,4,231604,20939,1783,mystery,866667,95,671011367,9780000000000.0,Kathy Reichs,1997.0,Déjà Dead,"Déjà Dead (Temperance Brennan, #1)",eng,3.86,100369,107636,3098,2579,6023,27054,40072,31908,https://images.gr-assets.com/books/1334157601m/231604.jpg
923,923,27531,926,3,22609317,20939,394,mystery,42099141,58,1476789630,9780000000000.0,Jessica Knoll,2015.0,Luckiest Girl Alive,Luckiest Girl Alive,eng,3.48,82504,98163,9278,3530,11319,33135,34874,15305,https://images.gr-assets.com/books/1425975301m/22609317.jpg
936,936,10875,939,3,15776309,20939,994,mystery,21488217,46,006222543X,9780000000000.0,Kimberly McCreight,2013.0,Reconstructing Amelia,Reconstructing Amelia,eng,3.82,86965,99269,10243,1616,5754,25360,42578,23961,https://images.gr-assets.com/books/1350193583m/15776309.jpg
948,948,22,951,3,22283,30358,106,suspense,1602338,63,009928264X,9780000000000.0,Chuck Palahniuk,1999.0,Survivor,Survivor,en-US,3.93,49551,88231,3078,903,4759,20844,34767,26958,https://images.gr-assets.com/books/1327346693m/22283.jpg
964,964,212,967,3,11597,30358,215,suspense,1316297,131,045052468X,9780000000000.0,Stephen King,1989.0,The Dark Half,The Dark Half,eng,3.74,94624,99918,1357,1592,7735,31007,34084,25500,https://images.gr-assets.com/books/1430122353m/11597.jpg
976,976,5295,979,2,18816603,20939,361,mystery,26757264,64,345544927,9780000000000.0,Jodi Picoult,2014.0,Leaving Time,Leaving Time,eng,3.94,76553,94584,11792,1874,5604,20043,36018,31045,https://images.gr-assets.com/books/1394487223m/18816603.jpg
979,979,22,982,4,40024,20939,1756,mystery,2266643,70,812976142,9780000000000.0,Caleb Carr,1994.0,The Alienist,"The Alienist (Dr. Laszlo Kreizler, #1)",eng,4.05,96981,100908,4026,1798,4571,18715,37572,38252,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
986,986,714,989,3,540020,20939,218,mystery,1792180,170,553266306,9780000000000.0,Frederick Forsyth,1971.0,The Day of the Jackal,The Day of the Jackal,eng,4.25,85883,89606,1439,514,1738,12890,34456,40008,https://images.gr-assets.com/books/1405364996m/540020.jpg
993,993,203,996,3,6854,20939,2364,mystery,1341652,67,312966091,9780000000000.0,Janet Evanovich,1997.0,Three to Get Deadly,"Three to Get Deadly (Stephanie Plum, #3)",en-US,4.14,113400,118305,2912,332,2257,23249,47014,45453,https://images.gr-assets.com/books/1311727539m/6854.jpg
998,998,9379,1001,3,15797938,20939,383,mystery,6463092,114,770437850,9780000000000.0,"Herman Koch, Sam Garrett",2009.0,Het diner,The Dinner,eng,3.22,74979,99070,14162,5722,16486,37029,30375,9458,https://images.gr-assets.com/books/1355949630m/15797938.jpg
1013,1013,1544,1016,4,32263,20939,1095,mystery,2674805,107,055381706X,9780000000000.0,Tess Gerritsen,2001.0,The Surgeon,"The Surgeon (Rizzoli & Isles, #1)",en-GB,4.1,89468,98297,3212,1422,3299,18191,36538,38847,https://images.gr-assets.com/books/1277923728m/32263.jpg
1021,1021,7333,1024,5,6218281,20939,1139,mystery,4543476,85,385342306,9780000000000.0,Alan Bradley,2009.0,The Sweetness at the Bottom of the Pie,"The Sweetness at the Bottom of the Pie (Flavia de Luce, #1)",eng,3.81,99841,109533,13444,2908,7650,26956,42394,29625,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1025,1025,7074,1028,4,26247008,20939,180,mystery,49997474,45,1250069793,9780000000000.0,Liane Moriarty,2016.0,Truly Madly Guilty,Truly Madly Guilty,eng,3.55,90477,116339,11983,2752,10961,41045,42953,18628,https://images.gr-assets.com/books/1491249206m/26247008.jpg
1034,1034,9,1037,2,5351,20939,367,mystery,1040524,119,385339097,9780000000000.0,John Grisham,1998.0,The Street Lawyer,The Street Lawyer,eng,3.81,80577,86456,1912,1041,5173,25497,32176,22569,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1055,1055,46,1058,5,16331,20939,2981,mystery,2589654,216,1579126251,9780000000000.0,Agatha Christie,1930.0,Murder at the Vicarage,"Murder at the Vicarage (Miss Marple, #1)",eng,4.03,93963,100137,2199,1170,3228,22393,37786,35560,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1061,1061,239,1064,5,5890,20939,1826,mystery,1303710,721,141439610,9780000000000.0,"Wilkie Collins, Matthew Sweet",1859.0,The Woman in White,The Woman in White,eng,3.98,93134,103301,5668,1971,5120,21879,38080,36251,https://images.gr-assets.com/books/1295661017m/5890.jpg
1062,1062,30714,1065,5,25735012,20939,2500,mystery,43699375,83,316349933,9780000000000.0,"Robert Galbraith, J.K. Rowling",2015.0,Career of Evil,"Career of Evil (Cormoran Strike, #3)",eng,4.21,66979,95274,10254,550,1926,12591,42325,37882,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1064,1064,203,1067,3,6422,20939,2201,mystery,2322486,59,312966970,9780000000000.0,Janet Evanovich,1998.0,Four to Score ,"Four to Score (Stephanie Plum, #4)",en-US,4.17,106871,111633,2527,286,1886,20825,44410,44226,https://images.gr-assets.com/books/1311983211m/6422.jpg
